iso3,country,year,homicide_rate,gini,gdppc,pop,democracy,gini_interp,log_homicide,log_gdppc,gini_c,democracy_c,gini_x_dem
DOM,Dominican Republic,2006,22.9521262431175,52,45815860539.7981,9341183,6.13,52,3.1338461735712135,24.54789616811414,15.926521578753231,-0.4331796801505172,-6.899045523394635
DOM,Dominican Republic,2006,6.722917574943,52,45815860539.7981,9341183,6.13,52,1.9070085675370743,24.54789616811414,15.926521578753231,-0.4331796801505172,-6.899045523394635
DOM,Dominican Republic,2008,25.0074949363479,48.1,50823044977.7376,9573130,6.2,48.1,3.2195753775780527,24.651615729960792,12.026521578753233,-0.36317968015051694,-4.367788260294889
DOM,Dominican Republic,2008,5.35874891493169,48.1,50823044977.7376,9573130,6.2,48.1,1.6805949046422244,24.651615729960792,12.026521578753233,-0.36317968015051694,-4.367788260294889
DOM,Dominican Republic,2010,25.1930337290323,47.3,55645592832.7047,9820175,6.2,47.3,3.2269643733442663,24.742268717151056,11.226521578753228,-0.36317968015051694,-4.077244516174474
DOM,Dominican Republic,2011,25.2674003329003,47.7,57421779163.4885,9945621,6.2,47.7,3.2299107290580413,24.773689496242696,11.626521578753234,-0.36317968015051694,-4.222516388234682
DOM,Dominican Republic,2012,22.5214243986665,46.1,59015618840.2876,10070411,6.49,46.1,3.1149109747566923,24.801067971924926,10.026521578753233,-0.0731796801505169,-0.7337376421554174
DOM,Dominican Republic,2013,19.4038895577301,47.7,61927882062.5429,10193833,6.74,47.7,2.965988766478659,24.849236352418366,11.626521578753234,0.1768203198494831,2.055805264292064
DOM,Dominican Republic,2014,17.5463639644216,44.3,66331713896.7879,10315528,6.67,44.3,2.865416503236837,24.917933959088515,8.226521578753228,0.10682031984948281,0.8787596662910921
DOM,Dominican Republic,2016,15.3154603364407,45.7,75735566406.0476,10551430,6.67,45.7,2.729515519638065,25.05051372068594,9.626521578753234,0.10682031984948281,1.0283081140803687
DOM,Dominican Republic,2017,11.3998115468654,42.2,78714898894.6559,10666843,6.66,42.2,2.434473647249014,25.089098286963928,6.126521578753234,0.09682031984948303,0.5931717788196479
DOM,Dominican Republic,2017,0,42.2,78714898894.6559,10666843,6.66,42.2,-4.605170185988091,25.089098286963928,6.126521578753234,0.09682031984948303,0.5931717788196479
DOM,Dominican Republic,2018,9.90534873528498,43.7,84301701754.6018,10782053,6.54,43.7,2.2940839338479244,25.157667888637796,7.626521578753234,-0.02317968015051708,-0.1767803308565165
DOM,Dominican Republic,2018,0,43.7,84301701754.6018,10782053,6.54,43.7,-4.605170185988091,25.157667888637796,7.626521578753234,-0.02317968015051708,-0.1767803308565165
DOM,Dominican Republic,2019,9.41799066618377,41.9,88427452425.8944,10894043,6.54,41.9,2.2436829950631876,25.205448306184255,5.82652157875323,-0.02317968015051708,-0.13505690658558567
DOM,Dominican Republic,2019,0,41.9,88427452425.8944,10894043,6.54,41.9,-4.605170185988091,25.205448306184255,5.82652157875323,-0.02317968015051708,-0.13505690658558567
DOM,Dominican Republic,2020,8.72977662309348,39.6,81415993438.0734,11008300,6.32,39.6,2.167884631342375,25.12283757023853,3.5265215787532327,-0.24317968015051683,-0.8575783895651068
DOM,Dominican Republic,2020,2.49811505863757,39.6,81415993438.0734,11008300,6.32,39.6,0.9195314983681218,25.12283757023853,3.5265215787532327,-0.24317968015051683,-0.8575783895651068
DOM,Dominican Republic,2020,0.0181681095173642,39.6,81415993438.0734,11008300,6.32,39.6,-3.5695648091305467,25.12283757023853,3.5265215787532327,-0.24317968015051683,-0.8575783895651068
DOM,Dominican Republic,2021,10.5362752855436,38.5,92824351636.8768,11123476,6.45,38.5,2.355772744081038,25.253974852195253,2.4265215787532313,-0.11317968015051694,-0.2746329361616181
DOM,Dominican Republic,2021,4.84560783183278,38.5,92824351636.8768,11123476,6.45,38.5,1.5801342909887195,25.253974852195253,2.4265215787532313,-0.11317968015051694,-0.2746329361616181
DOM,Dominican Republic,2022,12.3678475675698,37,97686450823.9666,11230734,6.39,37,2.5159083884546076,25.30502870494469,0.9265215787532313,-0.17317968015051743,-0.16045471066103703
DOM,Dominican Republic,2023,10.9166976980638,38.4,99828029402.8707,11331265,6.44,38.4,2.3912091246127725,25.326714836571426,2.32652157875323,-0.12317968015051672,-0.28658018393409807
DZA,Algeria,2011,0.758738181010027,27.6,166115170291.39,36903376,3.44,27.6,-0.263004834275495,25.83594718167321,-8.473478421246767,-3.123179680150517,26.46419562543179
DZA,Algeria,2011,1.98626816671554,27.6,166115170291.39,36903376,3.44,27.6,0.6912795209267361,25.83594718167321,-8.473478421246767,-3.123179680150517,26.46419562543179
ECU,Ecuador,2008,17.886543943386,49.8,72000071699.6601,14575202,5.64,49.8,2.884607618416688,24.999932951790584,13.726521578753228,-0.9231796801505174,-12.672045800652581
ECU,Ecuador,2010,17.4043449177688,48.8,75718234074.2169,15076695,5.77,48.8,2.85729428713394,25.050284841227633,12.726521578753228,-0.7931796801505175,-10.094418315264145
ECU,Ecuador,2011,15.2875203821371,45.9,82140258351.3877,15326227,5.72,45.9,2.727690748737204,25.131694090726604,9.82652157875323,-0.8431796801505174,-8.285523321765305
